33		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
34		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
35		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
36		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
37		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
38		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
39		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
40		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
41		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
42		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
43		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
44		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
45		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
46		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
47		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
48		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
49		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
50		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
51		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
52		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
53		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
54		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
55		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
56		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
57		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
58		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
59		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
60		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
61		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
62		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
63		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
64		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
65		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
66		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
67		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
68		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
69		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
70		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
71		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
72		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
73		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
74		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
75		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
76		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
77		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
78		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
79		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
80		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
81		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
82		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
83		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
84		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
85		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
86		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
87		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
88		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
89		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
90		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
91		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
92		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
93		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
94		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
95		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
96		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
97		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
98		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
99		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
100		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
101		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
102		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
103		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
104		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
105		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
106		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
107		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
108		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
109		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
110		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
111		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
112		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
113		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
114		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
115		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
116		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
117		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
118		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
119		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
120		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
121		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
122		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
123		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
124		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
125		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
126		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
127		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
128		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
129		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
130		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
131		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
132		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
133		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
134		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
135		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
136		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
137		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
138		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
139		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
140		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
141		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
142		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
143		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
144		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
145		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
146		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
147		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
148		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
149		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
150		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
151		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
152		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
153		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
154		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
155		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
156		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
157		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
158		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
159		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
160		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
161		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
162		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
163		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
164		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
165		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
166		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
167		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
168		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
169		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
170		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
171		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
172		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
173		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
174		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
175		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
176		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
177		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
178		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
179		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
180		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
181		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
182		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
183		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
184		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
185		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
186		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
187		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
188		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
189		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
190		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
191		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
192		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
193		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
194		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
195		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
196		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
197		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
198		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
199		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
200		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
201		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
202		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
203		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
204		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
205		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
206		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
207		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
208		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
209		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
210		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
211		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
212		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
213		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
214		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
215		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
216		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
217		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
218		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
219		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
220		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
221		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
222		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
223		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
224		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
225		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
226		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
227		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
228		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
229		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
230		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
231		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
232		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
233		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
234		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
235		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
236		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
237		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
238		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
239		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
240		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
241		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
242		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
243		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
244		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
245		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
246		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
247		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
248		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
249		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
250		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
251		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
252		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
253		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
254		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
255		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
256		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
257		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
258		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
259		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
260		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
261		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
262		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
263		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
264		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
265		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
266		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
267		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
268		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
269		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
270		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
271		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
272		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
273		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
274		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
275		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
276		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
277		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
278		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
279		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
280		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
281		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
282		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
283		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
284		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
285		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
286		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
287		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
288		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
289		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
290		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
291		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
292		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
293		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
294		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
295		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
296		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
297		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
298		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
299		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
300		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
301		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
302		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
303		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
304		1	0	0	-0.00884695	0	1	0	-0.0851828	0	0	1	0.107	0	0	0	1
